"filename","caption","description","series","dimensions"
"IMG_20260908_231111.jpg","In the Arms of the Wild","The horse stands at the centre of an embrace, surrounded by elongated figures, birds, and stray flowers. Human touch and animal calm meet without hierarchy, as if affection were the language through which the whole gathering understands itself.","All That Breathes","13 x 16.5 in"
"IMG_20260908_231233.jpg","The Fruit Between Us","A seated figure lifts two red fruits toward a bird bending from the branch above. The small offering turns the tree into a meeting place, where hunger, care, and curiosity pass gently between human hands and the living world.","All That Breathes","14 x 19 in"
"IMG_20260908_231344.jpg","The Listening Vessel","Three figures lean toward one another beside a dark, richly worked vessel, while a lone bird waits below. Their closeness feels like a story being passed in confidence, with the vessel holding not water but the weight of shared memory.","All That Breathes","14 x 19 in"
"IMG_20260908_231451.jpg","Dream Beneath the Flowering Tree","A reclining figure rests beside two cattle under a canopy of orange and yellow leaves, while white birds gather below. Dreaming draws every form into the same shelter, where animal presence and human thought become part of one inward landscape.","All That Breathes","12 x 16 in"
"IMG_20260908_231855.jpg","A Meadow of Dreamers","Deer, birds, a reclining figure, and a curtain of leaves are woven into one broad sweep of colour. The animals seem to move through the figure's sleep, turning the body into a meadow where instinct and imagination lie down together.","All That Breathes","12 x 16.5 in"
"IMG_20260908_232050.jpg","The Forest in Its Feathers","A large bird fills the composition, its body opening into leaves, branches, hills, and fields of colour. Feather and landscape become indistinguishable, as if the forest had gathered itself into a single watchful creature.","All That Breathes","12 x 16.5 in"
"IMG_20260908_232127.jpg","Keeper of the Green Horse","A seated figure draws the green horse close while birds, lotus leaves, and a banana tree rise around them. The embrace gives the scene a protective tenderness, making care feel like a place where animal, person, and plant can all rest.","All That Breathes","12 x 16 in"
"IMG_20260908_232235.jpg","Village of Many Lives","A woman, bull, villagers, birds, hut, and trees are drawn into a crowded rural world. Each form keeps its own presence, yet together they become a living memory of village life, held by labour, family, and the nearness of animals.","All That Breathes","12 x 16 in"
"IMG_20260908_232448.jpg","Bull Above the Turning Earth","A red bull climbs across rounded fields of black, blue, and pink as birds collect in the nearby tree. Its lifted body turns the scene into a surge of force, as though the earth itself were rising through muscle, horn, and colour.","All That Breathes","12 x 16 in"
"IMG_20260908_232543.jpg","Close to the Forest","Two figures are surrounded by deer, birds, leaves, and the long curve of a flamingo. Nature does not frame their closeness; it enters it, making companionship feel like a shelter shared by every creature present.","All That Breathes","12 x 16 in"
"IMG_20260908_232642.jpg","Memory Beside the Horse","An elder, a woman, and a dark horse emerge from a field of leaves, flowers, and birds. Their overlapping forms suggest a memory carried across generations, where human lives remain tied to the animals and landscapes that once held them.","All That Breathes","12 x 16 in"
"IMG_20260908_232730.jpg","A Small Pasture of Silence","Three goats stand between spare trees, their red, blue, and pink bodies bright against the open page. The empty ground gives them room to simply be, turning the ordinary pause of a herd into a scene of alert and gentle stillness.","All That Breathes","12 x 16 in"
"IMG_20260908_232830.jpg","Bird at the Open Hand","A reclining figure raises one dark hand toward a long-necked bird while a horse and a white flock gather below. The gesture holds the composition in balance, poised between invitation and release, earthbound weight and the desire to rise.","All That Breathes","12 x 16 in"
"IMG_20260909_164454.jpg","Rest Beneath White Leaves","A bull folds its body beneath branching white leaves as a red-and-yellow bird keeps watch above. The animal's deep colours hold a reserve of strength, while its resting posture lets that power settle into the calm of the ground.","All That Breathes","12 x 16 in"
"IMG_20260909_164608.jpg","The World in Her Arms","A woman gathers birds, flowers, a horned animal, and a peacock into the wide curve of her arms. What she holds is not a collection of separate creatures but a living world, abundant, unruly, and made whole through care.","All That Breathes","12 x 16 in"
"IMG_20260909_164646.jpg","A Horse Made of Twilight","A single horse's head emerges in violet, green, and ember-like orange against an open ground. Its steady eye gives the portrait an inward gravity, as though dusk had taken animal form and paused long enough to look back.","All That Breathes","12 x 16 in"
"IMG_20260909_164741.jpg","Garden in a Peacock's Wake","A peacock's sweeping tail curls around a bull, dark animal forms, broad leaves, and red flowers. The bird does not merely enter the garden; its feathers seem to create it, opening a vivid passage between display, fertility, and growth.","All That Breathes","12 x 16 in"
"IMG_20260909_164832.jpg","White Herd, Deep Night","Four cattle remain pale and open against a dense field of blue, brown, and black. Their spare bodies feel luminous and close, like familiar presences appearing out of night before colour has fully reached them.","All That Breathes","14 x 19 in"
"IMG_20260909_164908.jpg","Held Against the Heart","A seated figure gathers the great red-and-orange head of a bull against the body while birds hover near a bare branch. Strength is met with tenderness here, as if the animal's weight could be calmed by touch and carried through trust.","All That Breathes","14 x 19 in"
"IMG_20260909_165022.jpg","She Who Listens to Birds","A woman is surrounded by peacock forms, slender birds, leaves, and wings that cross her shoulders and hair. Her upward gaze makes the gathering feel like a conversation without words, where every colour arrives as a different voice.","All That Breathes","14 x 19 in"
"IMG_20260909_165420.jpg","Under One Quiet Wing","Two figures lean into one another beneath the arc of a large green bird, with flowers and white birds at their side. The enclosing curve turns intimacy into shelter, holding the pair inside a moment that feels protected but never closed.","All That Breathes","12 x 16 in"
"IMG_20260909_165540.jpg","Where Bodies Become Branches","Two elongated figures overlap with a bird and a tree whose red and green leaves rise above them. Arms, legs, wings, and branches share the same restless rhythm, blurring the point where human gesture ends and nature begins.","All That Breathes","14 x 19 in"
"IMG_20260909_165611.jpg","The Horse Between Us","Two figures stand close to a crimson horse, offering flowers and touch near its lowered head. The animal becomes the quiet centre of their exchange, carrying affection between them more surely than speech.","All That Breathes","14 x 19 in"
"IMG_20260909_165714.jpg","Council Beneath the Trees","Three watchful figures gather with a green-faced goat beneath trees crowded with small birds. Their angled bodies create the feeling of a council in progress, where human, animal, and forest each holds an equal place in the conversation.","All That Breathes","14 x 19 in"
"IMG_20260909_165806.jpg","A Gathering of Wings and Faces","Two masked figures rise among the long bodies of birds and the dark head of a cow. The repeated eyes and upward hands make the gathering feel ceremonial, as though every being has arrived to witness the same unseen sign.","All That Breathes","14 x 19 in"
"IMG_20260909_165848.jpg","Under the Indigo Tree","A solitary woman stands beside broad green leaves, her pink body set against an indigo shadow. The tree becomes both companion and shelter, giving her turned gaze the calm dignity of someone listening to a landscape she knows by heart.","All That Breathes","14 x 19 in"
"IMG_20260909_170053.jpg","Procession Under the Red Sun","A dark horse, a brilliant blue bird, and three orange birds cluster beneath a red sun and blue leaves. Their bodies overlap like travellers moving as one, turning the scene into a procession guided by instinct, kinship, and light.","All That Breathes","14 x 19 in"
"IMG_20260909_170129.jpg","The Faces She Carries","A woman appears with several faces beside two horses, while a small golden bird rests on her lifted hand. The layered profiles hold different states of self at once—watchful, guarded, and tender—yet the bird meets them all with the same trust.","All That Breathes","14 x 19 in"
"IMG_20260909_170350.jpg","Rest at the Forest's Edge","A seated figure rests between a dark horse and a tree alive with birds, while another face appears beneath the folded body. Outer landscape and inner memory share the same space, making rest feel like a pause in which many lives continue to speak.","All That Breathes","14 x 19 in"
"IMG_20260909_170458.jpg","Between Burden and Flight","A reclining figure stretches beneath the dark weight of a bull while two birds drift along the lower edge. The body holds heaviness and movement together, suggesting that endurance is not stillness but the slow art of carrying life forward.","All That Breathes","14 x 19 in"
"IMG_20260909_170529.jpg","Where the Herd Gathers","A woman draws close to a blue horse as a brown bull and two pink birds complete the circle around her. Touch, gaze, and colour bind the group into one family, turning the meeting of different bodies into a simple image of belonging.","All That Breathes","14 x 19 in"
